a_x_mean,a_y_mean,a_z_mean,a_x_std,a_y_std,a_z_std,a_x_mad,a_y_mad,a_z_mad,a_x_min,a_y_min,a_z_min,a_x_max,a_y_max,a_z_max,a_sma,a_x_energy,a_y_energy,a_z_energy,a_x_IQR,a_y_IQR,a_z_IQR,a_x_skewness,a_y_skewness,a_z_skewness,a_x_kurtosis,a_y_kurtosis,a_z_kurtosis,a_x_mean_fft,a_y_mean_fft,a_z_mean_fft,a_x_std_fft,a_y_std_fft,a_z_std_fft,a_x_mad_fft,a_y_mad_fft,a_z_mad_fft,a_x_min_fft,a_y_min_fft,a_z_min_fft,a_x_max_fft,a_y_max_fft,a_z_max_fft,a_sma_fft,a_x_energy_fft,a_y_energy_fft,a_z_energy_fft,a_x_IQR_fft,a_y_IQR_fft,a_z_IQR_fft,a_x_skewness_fft,a_y_skewness_fft,a_z_skewness_fft,a_x_kurtosis_fft,a_y_kurtosis_fft,a_z_kurtosis_fft,label
0.277888,0.001266,-0.244514,0.07293966723258341,0.08083193084419052,0.10854429143902503,0.058297919999999996,0.0711648,0.08835799999999999,0.1083,-0.1598,-0.4205,0.4267,0.096,-0.0055,0.29691,0.0412709678,0.0032677018999999995,0.0357844797,0.10124999999999995,0.13845000000000002,0.1443,0.16590077919183366,-0.6089650643302705,0.30876920053662926,-0.5104679014548057,-1.0180480982749485,-0.5888091327668694,0.6565364149189502,0.3730679364504706,0.6455797524449176,1.9225131250229144,0.4331171952169385,1.7781098822157082,0.6648843446030281,0.2602341716194983,0.7508467695920986,0.015799999999999953,0.03329999999999997,0.0003000000000001335,13.8944,2.2625648359247927,12.2257,0.8375920519071691,2.06354839,0.163385095,1.7892239849999998,0.3153217261498532,0.3042856635646176,0.2576709510481488,6.524028212087972,3.292078962572673,5.642570520268191,41.964157345893035,11.59141214444745,33.18165797984339,1
0.434484,-0.132816,-0.478896,0.13512374678049746,0.09485669056002323,0.17944401462294585,0.11601600000000001,0.07046944000000001,0.16089552000000001,0.1083,-0.3608,-0.8235,0.6843,0.0554,-0.2087,0.525376,0.10351738659999998,0.013318940799999998,0.1307707666,0.211725,0.09702500000000001,0.31567499999999993,-0.13992833640153626,-0.41204220667930935,-0.34639182392369744,-0.7982752249375289,0.20042181777170542,-1.1785132516688335,1.0031919252066435,0.6176329137135775,1.225789325470069,3.0570156396721604,0.974896745249299,3.4021342109863375,1.1441329684007024,0.5255787695583579,1.253679866730431,0.08234545467454002,0.026346615611128537,0.2235846582223492,21.7242,6.6408000000000005,23.944799999999997,1.423307082195145,5.17586933,0.66594704,6.538538329999999,0.4381685333489781,0.6057968687236753,0.6502139636083748,6.243885106100817,4.782908147422161,6.022263540461686,39.24437471709189,26.30004973412743,36.87325178193159,1
0.5134500000000001,-0.26797200000000004,-0.923712,0.11142737590017994,0.09879125677912999,0.4063568208557597,0.08270999999999999,0.09062624,0.35411184,0.1447,-0.4475,-1.8224,0.6843,-0.1191,-0.3163,0.8525670000000001,0.13802348129999997,0.04078435259999999,0.5091848624,0.1334249999999999,0.18787500000000007,0.643575,-1.128608137424588,0.05201956299420477,-0.7792087859277842,2.3789951749739027,-1.4653967585248375,-0.729622313129525,1.0690811031996978,0.7471264102121736,2.7843738704161813,3.5580069877364378,1.8762295667544178,6.570064565112249,1.173770724622433,0.7072054796279462,2.721667496383997,0.07144739191231238,0.0558504122232684,0.49500000000000105,25.6725,13.398599999999998,46.1856,2.300290691914026,6.901174065000001,2.0392176299999996,25.459243120000007,0.4039379250565569,0.42469239635983,1.7637042706799286,6.608470725006483,6.148707385852883,5.819107026695155,42.73117130893201,38.379646570307635,35.17135111185315,1
0.884718,-0.410474,-0.8270540000000001,0.4827065629096004,0.13371971105263428,0.7490196775011989,0.41855943999999995,0.10953768,0.61039152,0.1447,-0.6975,-1.8224,1.9872,-0.1191,0.7337,1.156585,0.5078657827,0.09318493290000002,0.6225243981,0.752775,0.15699999999999997,0.7838500000000002,0.6406702272683075,-0.5404627634327798,0.8251035818584004,-0.47594887527607677,-0.42185605335162624,-0.5145018412076032,2.8114391807454986,0.9598792189910752,3.080767199431273,6.548464553081821,2.897779352357436,7.263698319238513,2.9151963404756938,1.11305652328774,3.736612213371168,0.41639664707401314,0.04633078266180483,0.3775000000000007,44.2359,20.523699999999998,41.3527,3.4260427995839233,25.393289135,4.659246645,31.126219905000003,1.422040941380367,0.576017460346929,1.045593233791653,5.266214694197275,6.168477481522375,3.917742943958848,29.428783755085632,38.574526371243394,15.390832776243371,1
1.602656,-0.5489580000000001,-0.241732,0.4292803858365765,0.13171918173143957,0.8361950814110305,0.36532128,0.11142575999999997,0.7530158399999999,0.7313,-0.8173,-1.6036,2.3221,-0.294,0.9376,1.4482269999999997,1.3763939519999997,0.1593524143,0.378828287,0.66885,0.173775,1.6190499999999999,-0.09491838093105825,0.5717189854614594,-0.1989073670252155,-0.9751211683416838,-0.6895061503646742,-1.4553073125755935,3.567888675218544,1.1646595141278213,2.364472565557394,11.176294806475322,3.818220743507576,5.682613675653699,4.114238958071557,1.3259062254941634,3.4043804438056084,0.6366851001926174,0.16880207090821403,0.09102540697399147,80.1328,27.447899999999997,26.33505612351742,3.5485103774518802,68.81969760000001,7.967620714999997,18.94141435,1.259285570949034,0.5465939498889207,0.6553988071260107,6.42902362902244,6.5200994040215665,3.2180105610801117,41.058301279868076,41.910205530283534,10.05740157470891,1
1.7204,-0.91358,-0.38914000000000004,0.3299974418082661,0.3300535174786053,0.6945558076929456,0.260596,0.3013232,0.5885728,1.038,-1.4888,-1.482,2.3221,-0.4378,0.9376,1.6676520000000001,1.5343372358000003,0.4717818703999999,0.3169188548,0.339075,0.5463249999999998,0.970475,-0.10100314300630504,-0.2807448515626173,0.45550675804023993,-0.4817392753148013,-1.41883126004462,-0.8668539917489859,2.9379117741008276,2.2573647174814138,3.003112366187064,12.033386804536775,6.487101939407925,4.761638541096366,3.995510808726457,2.5212460176897347,3.083445544523517,0.15210248834273607,0.3754620605622723,0.6364607532058504,86.02000000000001,45.679,19.457,4.099194428884653,76.71686179000001,23.589093519999995,15.84594274,1.0054674944471336,0.7481261097296761,0.8725417170182439,6.582406977573914,6.048169059478587,2.502825069659158,42.45253803871492,37.2214333772027,4.888577818409324,1
1.8071740000000003,-1.2678839999999998,-2.302704,0.45554077086908473,0.20084081294398307,2.2884013284352025,0.3683209599999999,0.17223599999999997,1.93854512,1.038,-1.6229,-9.7679,2.8047,-0.8179,-0.2044,2.6888809999999994,1.7366976301,0.8239334348,5.2696131758,0.6015000000000001,0.27252500000000013,3.104425,0.4058426826105972,0.0746190914682312,-1.2923007985428923,-0.547594299266271,-0.8394090907984766,0.9033341229081779,3.610514211497123,2.005625744312776,13.089897674529158,12.674144947039911,8.852728893044779,18.857780793358376,4.600040460193751,2.8059722927385065,10.192136677940546,0.06302551774309885,0.0606156399361645,4.324721515667686,90.3587,63.3942,115.1352,9.35301881516953,86.83488150500001,41.19667174,263.48065879,0.9974494725259521,0.7797178129955302,6.605861264957424,6.415636741537998,6.6685087485598915,3.8697016442224026,40.9026527093742,43.249146790873205,16.050825412877895,1
1.3074559999999997,-2.0500659999999997,-6.2425359999999985,2.4658514808609215,0.9671148960924963,5.176448041302453,1.6247441599999999,0.8537151999999999,4.3414072,-5.7682,-4.1065,-15.855,4.2386,-0.8179,4.9974,5.643695000000001,3.8949323588,2.5690409133,32.882435017800006,1.054425,1.567025,7.968074999999999,-2.0560594340174174,-0.7103912994343674,-0.047430106575079456,3.06506714864868,-0.8689420932497836,-0.7270550324295413,12.473861413894685,5.5842681038347814,23.387044633352566,15.293659382467927,15.023982197623022,52.357326565606606,11.296836331739353,6.804942135603422,29.02508714584198,3.046841258066938,0.06358467689335717,2.696982775403975,65.37280000000001,102.50330000000001,312.1268,20.722587075541014,194.74661794,128.452045665,1644.12175089,6.313163969384098,2.8276547625363255,8.50990347198455,1.916557688623546,5.481256231251149,3.9382967798049715,2.519416513216151,31.83528085822521,16.89518094442395,1
-10.285112,0.026098000000000496,1.2403840000000002,17.997455772243367,11.929416399815878,20.552193676650287,13.214245280000002,6.045044640000001,13.308176799999998,-68.9744,-42.1867,-20.5052,4.2386,47.4087,70.1645,15.575341000000002,214.8459715632,71.1558283729,211.96560869500001,15.6122,2.3817000000000004,16.354575,-1.8524753796779545,0.9708016560227162,2.2741796549428765,2.5660229116151285,7.186538750330664,4.93597144896451,93.85822626921217,67.08379764591474,109.96582461648359,112.58432625333494,51.140462753987315,95.41529377367537,80.5821059449725,47.165164071966544,83.96884270230345,19.02092821940058,1.3049000000000035,22.973804971761638,514.2556,155.6021150743516,314.24725551336417,135.45392426580526,10742.29857816,3557.7914186450002,10598.280434750002,95.65675348801675,97.25635703689355,156.27694405993105,2.1329340977433486,0.5580202716060984,0.9450241504254253,3.9403153560220714,-1.3965895322647903,-0.7470115438414351,1
-1.357848,-3.96985,-5.721584,27.69815009106016,23.48306155591515,39.86263902758251,21.950184319999998,16.726561999999998,31.385768,-68.9744,-59.882,-65.7924,44.7656,47.4087,70.1645,34.833611,384.515634829,283.60694453070005,810.8832568561999,39.252075000000005,17.585524999999997,46.518825,-0.40792825102575503,-0.6404887071550867,0.4360299379994494,-0.31371579852703135,0.4684648683832662,-0.5146985935271586,95.13824466940629,93.5736332863363,150.7709482664452,171.46509231946945,140.01667617346249,241.57079054483575,119.97363162618575,95.72286733488062,173.91255842888665,2.413155618542701,6.971744754314889,7.954260041585102,701.1878587925611,525.1232951405646,895.4177172571244,169.7414131110939,19225.78174145,14180.347226535001,40544.162842809994,49.84875785482924,85.54092700501538,104.38256772991933,2.3136953880236315,2.2525156337658823,1.9139588688325102,4.507772551303271,4.113638838489682,2.307328125491579,1
